2021:06:09 11:11:45 IST +0530,68.25,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:45 IST +0530,68.25,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:46 IST +0530,68.25,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:47 IST +0530,68.25,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:48 IST +0530,67.7,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:48 IST +0530,67.7,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:49 IST +0530,67.7,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:50 IST +0530,67.95,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:50 IST +0530,67.95,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:51 IST +0530,67.95,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:51 IST +0530,68.0,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:52 IST +0530,68.0,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:53 IST +0530,68.0,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:53 IST +0530,68.0,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:54 IST +0530,67.95,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
2021:06:09 11:11:54 IST +0530,67.8,"{'open': 55.7, 'high': 88.8, 'low': 31.45, 'close': 61.9}"
