2021:06:01 10:43:56,123.5,126.25,121.85,123.7,6825,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
2021:06:01 10:45:32,123.2,124.25,116.0,119.4,5200,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
2021:06:01 10:47:04,119.9,133.35,119.1,131.95,4550,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
2021:06:01 10:48:36,132.05,134.5,129.45,133.9,7150,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
2021:06:01 10:50:10,133.6,135.65,126.3,127.0,5275,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
2021:06:01 10:51:40,127.5,131.0,122.35,126.3,3950,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
2021:06:01 10:53:11,127.65,127.65,122.65,123.55,4575,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
2021:06:01 10:54:40,123.9,124.95,119.9,123.0,5075,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
2021:06:01 10:56:07,123.45,124.0,118.4,119.8,4350,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
2021:06:01 10:57:37,120.1,126.95,119.35,124.25,4050,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
2021:06:01 10:59:09,124.45,126.25,122.0,125.5,6725,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
2021:06:01 11:00:40,125.5,127.65,123.05,126.0,6550,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
2021:06:01 11:02:09,126.0,129.95,124.75,128.95,4400,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
2021:06:01 11:03:42,129.15,129.15,121.0,121.0,4325,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
2021:06:01 11:05:24,121.0,125.1,120.1,120.5,7075,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
2021:06:01 11:07:00,120.9,122.85,117.45,120.75,3925,"{'open': 220.0, 'high': 224.95, 'low': 112.85, 'close': 192.7}"
2021:06:01 11:08:32,121.2,122.15,110.05,114.3,5050,"{'open': 220.0, 'high': 224.95, 'low': 106.95, 'close': 192.7}"
2021:06:01 11:10:01,113.85,116.2,107.65,107.65,4550,"{'open': 220.0, 'high': 224.95, 'low': 105.8, 'close': 192.7}"
2021:06:01 11:11:33,107.35,112.7,104.8,105.0,4050,"{'open': 220.0, 'high': 224.95, 'low': 104.6, 'close': 192.7}"
2021:06:01 11:13:02,105.35,109.15,104.95,106.9,4750,"{'open': 220.0, 'high': 224.95, 'low': 104.6, 'close': 192.7}"
2021:06:01 11:14:28,107.45,107.65,104.05,106.05,4375,"{'open': 220.0, 'high': 224.95, 'low': 103.7, 'close': 192.7}"
