timestamp,open,high,low,close,volume
2021:05:31 13:26:15,685.0,694.05,682.6,685.8,12900
2021:05:31 13:28:00,685.8,685.8,668.3,682.4,6600
2021:05:31 13:29:47,682.4,682.4,665.1,673.15,5975
2021:05:31 13:31:33,673.15,680.0,657.2,662.1,5500
2021:05:31 13:33:12,659.9,664.4,638.35,650.1,7300
2021:05:31 13:34:58,650.1,670.6,647.5,669.95,8750
2021:05:31 13:36:50,669.95,691.2,666.35,686.0,5600
2021:05:31 13:38:36,686.0,686.0,676.9,679.05,8450
2021:05:31 13:40:21,679.05,692.0,679.05,688.0,14500
2021:05:31 13:41:59,688.0,688.0,658.35,658.35,6875
2021:05:31 13:43:42,658.35,677.5,652.0,677.5,10475
2021:05:31 13:45:27,680.0,684.3,671.0,671.0,5625
2021:05:31 13:47:16,671.0,686.0,668.85,675.65,7125
2021:05:31 13:49:01,675.65,676.75,660.0,663.0,4150
2021:05:31 13:50:50,663.0,671.0,660.25,669.8,4125
2021:05:31 13:52:38,669.8,672.25,665.9,669.0,4875
2021:05:31 13:54:23,669.0,669.0,650.0,662.05,6175
2021:05:31 13:56:06,662.05,676.25,662.05,670.0,27100
2021:05:31 13:57:52,670.0,676.0,660.0,670.45,8250
2021:05:31 13:59:39,670.45,684.45,670.45,681.5,9075
2021:05:31 14:01:19,681.5,718.75,681.5,715.0,6925
2021:05:31 14:03:10,713.1,726.5,711.65,722.5,5225
2021:05:31 14:04:52,722.5,745.0,719.5,745.0,5625
2021:05:31 14:06:31,748.4,761.2,731.75,736.2,5275
2021:05:31 14:08:21,736.2,742.0,730.05,737.8,15850
2021:05:31 14:10:13,733.35,775.5,733.35,767.7,6750
2021:05:31 14:12:04,767.7,767.7,739.4,747.25,8450
2021:05:31 14:14:03,747.25,747.25,735.0,743.0,4600
2021:05:31 14:15:49,743.0,775.45,743.0,761.15,5350
2021:05:31 14:17:28,761.15,761.15,738.4,748.15,4700
2021:05:31 14:19:11,748.15,750.0,736.65,747.45,6775
2021:05:31 14:21:02,747.45,752.9,735.0,743.55,3775
2021:05:31 14:22:53,743.55,750.0,723.8,725.0,10675
2021:05:31 14:24:36,725.0,732.0,717.2,730.0,5700
2021:05:31 14:26:29,730.0,735.0,705.2,735.0,4100
2021:05:31 14:28:15,735.7,753.85,732.1,745.6,3950
2021:05:31 14:30:01,745.6,750.1,740.65,741.4,5350
2021:05:31 14:31:45,741.4,750.0,736.0,747.4,5100
2021:05:31 14:33:32,747.4,763.85,745.0,745.0,4675
2021:05:31 14:35:24,745.0,746.5,681.35,692.8,8950
2021:05:31 14:37:09,692.8,746.95,690.35,737.45,4425
2021:05:31 14:39:01,737.45,740.1,725.0,728.3,10125
2021:05:31 14:40:46,728.3,729.75,710.0,710.0,5475
2021:05:31 14:42:45,710.0,734.1,710.0,730.25,9275
2021:05:31 14:44:31,730.25,730.25,725.55,729.25,9000
2021:05:31 14:46:12,729.25,729.25,700.0,701.1,4350
2021:05:31 14:48:00,701.1,744.7,701.1,735.05,5575
2021:05:31 14:50:03,735.05,744.75,729.5,729.5,6725
2021:05:31 14:52:02,720.0,724.4,709.0,714.35,4925
2021:05:31 14:53:52,714.35,732.35,708.2,732.35,4850
2021:05:31 14:55:41,732.35,742.0,726.0,730.0,3800
2021:05:31 14:57:27,730.0,733.6,721.25,721.25,6900
2021:05:31 14:59:34,721.25,725.0,719.4,720.0,3600
2021:05:31 15:01:21,720.0,768.4,708.45,756.75,6275
2021:05:31 15:03:14,756.75,756.75,726.55,726.55,8125
2021:05:31 15:04:55,726.55,741.25,725.6,730.0,6025
2021:05:31 15:06:42,730.0,739.1,730.0,738.15,3750
2021:05:31 15:08:38,738.15,762.8,738.15,750.0,3900
2021:05:31 15:10:28,750.0,760.0,739.25,756.9,4100
2021:05:31 15:12:10,765.0,775.0,757.45,770.8,4400
2021:05:31 15:14:04,769.3,772.75,760.0,765.0,5050
2021:05:31 15:15:46,765.0,793.15,765.0,793.15,4750
2021:05:31 15:17:33,793.15,793.15,774.5,774.5,4950
2021:05:31 15:19:19,774.5,788.85,774.5,779.35,6150
2021:05:31 15:21:01,779.35,798.6,762.2,763.4,10225
2021:05:31 15:22:42,761.3,768.55,755.0,760.0,7150
2021:05:31 15:24:28,760.0,762.5,752.9,758.9,3600
2021:05:31 15:26:07,758.9,760.1,741.85,741.85,5200
2021:05:31 15:27:55,741.85,750.0,737.1,738.9,6625
2021:05:31 15:29:33,738.9,738.9,728.1,732.5,7025
2021:05:31 15:29:34,731.5,731.5,730.05,730.05,75
