timestamp,open,high,low,close,volume
2021:05:31 14:07:30,214.2,217.0,211.5,215.3,6525
2021:05:31 14:09:06,215.65,217.5,211.4,211.6,5000
2021:05:31 14:10:36,212.15,212.15,199.45,206.25,6075
2021:05:31 14:12:05,206.0,211.6,205.25,211.6,5075
2021:05:31 14:13:33,211.6,215.95,210.55,212.5,4675
2021:05:31 14:15:05,211.75,214.5,202.35,204.7,5150
2021:05:31 14:16:35,204.7,211.2,200.85,210.8,4500
2021:05:31 14:18:06,210.8,213.55,207.9,211.65,5275
2021:05:31 14:19:39,211.75,213.65,209.45,211.95,4325
2021:05:31 14:21:09,212.25,216.2,209.0,213.65,3975
2021:05:31 14:22:39,213.75,217.25,210.65,216.55,4150
2021:05:31 14:24:12,216.65,218.8,212.8,217.05,4325
2021:05:31 14:25:39,218.15,222.0,215.6,219.55,4125
2021:05:31 14:27:12,220.35,220.35,206.7,209.0,4675
2021:05:31 14:28:42,209.4,213.25,207.5,210.75,4675
2021:05:31 14:30:11,210.85,215.0,210.0,213.15,4250
2021:05:31 14:31:42,213.7,214.6,210.0,210.0,4700
2021:05:31 14:33:10,209.55,209.9,202.35,206.0,4625
2021:05:31 14:34:37,206.0,215.55,205.0,215.0,5050
2021:05:31 14:36:03,214.75,232.5,213.9,223.45,4550
2021:05:31 14:37:31,222.8,225.45,209.3,209.4,4975
2021:05:31 14:38:59,209.85,216.75,209.0,214.75,4900
2021:05:31 14:40:31,214.9,220.0,214.55,218.05,4575
2021:05:31 14:42:01,217.9,218.65,211.5,217.0,4325
2021:05:31 14:43:31,217.0,217.0,212.2,216.0,4425
2021:05:31 14:44:58,214.75,219.9,214.5,216.25,4750
2021:05:31 14:46:29,216.25,226.9,215.7,223.65,5650
2021:05:31 14:47:56,223.3,224.55,205.0,209.5,5400
2021:05:31 14:49:30,209.55,212.4,207.45,212.4,5275
2021:05:31 14:51:01,212.15,217.1,211.35,215.1,4575
2021:05:31 14:52:32,214.75,223.75,214.0,220.3,4275
2021:05:31 14:54:08,220.3,220.8,207.15,211.0,7425
2021:05:31 14:55:38,210.35,216.4,209.65,214.9,6100
2021:05:31 14:57:15,214.9,218.95,212.1,216.65,5500
2021:05:31 14:58:49,216.65,222.0,214.85,220.5,4650
2021:05:31 15:00:17,220.0,226.35,217.7,222.45,4500
2021:05:31 15:01:49,222.85,224.6,195.6,208.95,4875
2021:05:31 15:03:18,208.6,214.25,205.8,214.05,4600
2021:05:31 15:04:49,213.85,215.15,205.05,211.0,4600
2021:05:31 15:06:17,211.0,213.35,207.75,212.65,5475
2021:05:31 15:07:47,212.25,212.85,200.9,205.3,5400
2021:05:31 15:09:13,205.3,209.0,201.3,207.35,5025
2021:05:31 15:10:40,207.85,210.0,199.3,201.7,5600
2021:05:31 15:12:07,202.8,204.55,199.05,201.35,5625
2021:05:31 15:13:33,201.85,203.35,198.6,202.6,5125
2021:05:31 15:15:00,203.0,203.3,189.05,190.15,6400
2021:05:31 15:16:27,190.45,193.65,187.0,188.8,5075
2021:05:31 15:17:55,188.05,192.0,185.4,188.6,6650
2021:05:31 15:19:23,188.8,190.0,185.5,189.0,6125
2021:05:31 15:20:53,188.7,189.55,180.5,189.35,5075
2021:05:31 15:22:21,189.0,196.5,189.0,194.45,5575
2021:05:31 15:23:53,194.0,194.0,181.5,192.2,7450
2021:05:31 15:25:21,192.4,196.7,190.15,195.0,5225
2021:05:31 15:26:53,194.8,199.95,192.35,198.4,5550
2021:05:31 15:28:28,198.2,202.7,198.2,201.8,7225
2021:05:31 15:29:53,201.8,202.95,196.9,198.6,4475
