Timestamp,Open,High,Low,Close,Volume
2021:06:15 14:51:24 IST +0530,1016.1,1020.0,1010.7,1015.75,9000
2021:06:15 14:53:50 IST +0530,1015.75,1015.75,1015.75,1015.75,5250
2021:06:15 14:56:17 IST +0530,1015.75,1025.0,1010.1,1025.0,6800
2021:06:15 14:59:11 IST +0530,1025.0,1034.85,1023.35,1023.35,9875
2021:06:15 15:01:51 IST +0530,1023.35,1030.0,1010.0,1030.0,10275
2021:06:15 15:04:39 IST +0530,1030.0,1032.55,1020.05,1021.6,6550
2021:06:15 15:07:14 IST +0530,1021.6,1024.0,1015.0,1015.1,6400
2021:06:15 15:09:54 IST +0530,1017.8,1020.85,1011.35,1018.55,5250
2021:06:15 15:12:21 IST +0530,1018.55,1021.5,1015.75,1020.0,5925
2021:06:15 15:14:51 IST +0530,1020.0,1022.6,1018.5,1022.6,5250
2021:06:15 15:17:24 IST +0530,1022.6,1022.6,1007.6,1018.5,15675
2021:06:15 15:20:03 IST +0530,1018.5,1022.0,1013.95,1017.45,6000
2021:06:15 15:22:41 IST +0530,1014.2,1018.75,1009.85,1010.35,5775
2021:06:15 15:25:12 IST +0530,1010.35,1013.4,1008.7,1008.7,5250
2021:06:15 15:27:44 IST +0530,1008.7,1010.05,997.5,997.5,5250
2021:06:15 15:30:00 IST +0530,997.5,999.9,980.25,999.9,4775
