bse_symbol,nse_symbol
GRINDWELL,GRINDWELL
LAKPRE,LAKPRE
GENESYS,GENESYS
VIVIDHA,VIVIDHA
KANANIIND,KANANIIND
ASL,ARIHANTSUP
BLISSGVS,BLISSGVS
INEOSSTYRO,INEOSSTYRO
ALEMBICLTD,ALEMBICLTD
MODISNME,MODISNME
BAYERCROP,BAYERCROP
CLNINDIA,CLNINDIA
COROMANDEL,COROMANDEL
DEEPAKNI,DEEPAKNTR
GOCLCORP,GOCLCORP
KANORICHEM,KANORICHEM
ORIENTCQ,OCCL
PHILIPCARB,PHILIPCARB
PUNJABCHEM,PUNJABCHEM
SUDARSCHEM,SUDARSCHEM
UNICHEMLAB,UNICHEMLAB
ALKYLAMINE,ALKYLAMINE
ASTRAZEN,ASTRAZEN
JBCHEPHARM,JBCHEPHARM
TI,TI
SAKHTISUG,SAKHTISUG
WALCHANNAG,WALCHANNAG
IFBAGRO,IFBAGRO
DHARSUGAR,DHARSUGAR
GMBREW,GMBREW
RANASUG,RANASUG
SDBL,SDBL
ASALCBR,ASALCBR
IVP,IVP
WIPRO,WIPRO
DHANUKA,DHANUKA
TTKHEALTH,TTKHLTCARE
KANPRPLA,KANPRPLA
TAINWALCHM,TAINWALCHM
JAGSNPHARM,JAGSNPHARM
KHAICHEM,KHAICHEM
GILLETTE,GILLETTE
ANSALHSG,ANSALHSG
UNITECH,UNITECH
VIPIND,VIPIND
COSMOFILMS,COSMOFILMS
APOLLOHOSP,APOLLOHOSP
EVERESTIND,EVERESTIND
AYMSYNTEX,AYMSYNTEX
NAVNETEDUL,NAVNETEDUL
AUSOMENT,AUSOMENT
RUCHINFRA,RUCHINFRA
VISAKAIND,VISAKAIND
INFOMEDIA,INFOMEDIA
PRESSMN,PRESSMN
GUFICBIO,GUFICBIO
GRPLTD,GRPLTD
PTL,PTL
TVSSRICHAK,TVSSRICHAK
BERGEPAINT,BERGEPAINT
GRAPHITE,GRAPHITE
ITDCEM,ITDCEM
GARFIBRES,GARFIBRES
GOACARBON,GOACARBON
HEG,HEG
HINDCOMPOS,HINDCOMPOS
HIL,HIL
INDIANCARD,INDIANCARD
JAYSHREETEA,JAYSREETEA
HUHTAMAKI,HUHTAMAKI
SHALPAINTS,SHALPAINTS
SUPREMEIND,SUPREMEIND
VSTIND,VSTIND
JINDRILL,JINDRILL
DHFL,DHFL
SHIVTEX,SHIVATEX
CANFINHOME,CANFINHOME
IVC,IVC
SRTRANSFIN,SRTRANSFIN
CHOLAFIN,CHOLAFIN
VLSFINANCE,VLSFINANCE
VIDEOIND,VIDEOIND
CREST,CREST
VAKRANGEE,VAKRANGEE
