instrument_token_x,exchange_token_x,tradingsymbol_x,name,last_price_x,expiry_x,strike_x,tick_size_x,lot_size_x,instrument_type_x,segment_x,exchange_x,instrument_token_y,exchange_token_y,tradingsymbol_y,last_price_y,expiry_y,strike_y,tick_size_y,lot_size_y,instrument_type_y,segment_y,exchange_y
351233,1372,HINDCOMPOS,HINDUSTAN COMPOSITES.,0.0,,0.0,0.05,1,EQ,NSE,NSE,130466564,509635,HINDCOMPOS,0.0,,0.0,0.05,1,EQ,BSE,BSE
356865,1394,HINDUNILVR,HINDUSTAN UNILEVER.,0.0,,0.0,0.05,1,EQ,NSE,NSE,128178180,500696,HINDUNILVR,0.0,,0.0,0.05,1,EQ,BSE,BSE
1134849,4433,HITECHGEAR,THE HI-TECH GEARS,0.0,,0.0,0.05,1,EQ,NSE,NSE,133650692,522073,HITECHGEAR,0.0,,0.0,0.05,1,EQ,BSE,BSE
585985,2289,HLEGLAS,HLE GLASCOAT,0.0,,0.0,0.05,1,EQ,NSE,NSE,133687044,522215,HLEGLAS,0.0,,0.0,0.05,1,EQ,BSE,BSE
370689,1448,HLVLTD,HLV,0.0,,0.0,0.05,1,EQ,NSE,NSE,128049412,500193,HLVLTD,0.0,,0.0,0.01,1,EQ,BSE,BSE
655873,2562,HUHTAMAKI,HUHTAMAKI INDIA,0.0,,0.0,0.05,1,EQ,NSE,NSE,130513924,509820,HUHTAMAKI,0.0,,0.0,0.05,1,EQ,BSE,BSE
1270529,4963,ICICIBANK,ICICI BANK.,0.0,,0.0,0.05,1,EQ,NSE,NSE,136236548,532174,ICICIBANK,0.0,,0.0,0.05,1,EQ,BSE,BSE
4473601,17475,ICICINV20,ICICI PRUDENTIAL NV20 ETF,0.0,,0.0,0.01,1,EQ,NSE,NSE,138225924,539945,ICICINV20,0.0,,0.0,0.01,1,EQ,BSE,BSE
3060993,11957,IDFC,IDFC,0.0,,0.0,0.05,1,EQ,NSE,NSE,136360708,532659,IDFC,0.0,,0.0,0.05,1,EQ,BSE,BSE
2863105,11184,IDFCFIRSTB,IDFC FIRST BANK,0.0,,0.0,0.05,1,EQ,NSE,NSE,138095876,539437,IDFCFIRSTB,0.0,,0.0,0.05,1,EQ,BSE,BSE
3023105,11809,IIFL,IIFL FINANCE,0.0,,0.0,0.05,1,EQ,NSE,NSE,136354820,532636,IIFL,0.0,,0.0,0.05,1,EQ,BSE,BSE
4481793,17507,INCREDIBLE,INCREDIBLE INDUSTRIES,0.0,,0.0,0.05,1,EQ,NSE,NSE,137821444,538365,INCREDIBLE,0.0,,0.0,0.05,1,EQ,BSE,BSE
3663105,14309,INDIANB,INDIAN BANK,0.0,,0.0,0.05,1,EQ,NSE,NSE,136400388,532814,INDIANB,0.0,,0.0,0.05,1,EQ,BSE,BSE
2989313,11677,INDOCO,INDOCO REMEDIES.,0.0,,0.0,0.05,1,EQ,NSE,NSE,136348676,532612,INDOCO,0.0,,0.0,0.05,1,EQ,BSE,BSE
7458561,29135,INDUSTOWER,INDUS TOWERS,0.0,,0.0,0.05,1,EQ,NSE,NSE,136912900,534816,INDUSTOWER,0.0,,0.0,0.05,1,EQ,BSE,BSE
4159745,16249,INFIBEAM,INFIBEAM AVENUES,0.0,,0.0,0.05,1,EQ,NSE,NSE,138190596,539807,INFIBEAM,0.0,,0.0,0.05,1,EQ,BSE,BSE
1517057,5926,INTELLECT,INTELLECT DESIGN ARENA,0.0,,0.0,0.05,1,EQ,NSE,NSE,137941764,538835,INTELLECT,0.0,,0.0,0.05,1,EQ,BSE,BSE
