Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, FACE VALUE
504058,,NIPPOBATRY,INDO-NATIONAL LTD.,Active,B ,10.0,INE567A01010,Non-Durable Household Prod.,Equity,NIPPOBATRY,Indo-National Limited,EQ,06-OCT-1999,10,1,10
504067,,ZENSARTECH,ZENSAR TECHNOLOGIES LTD.,Active,A ,2.0,INE520A01027,IT Consulting & Software,Equity,ZENSARTECH,Zensar Technologies Limited,EQ,09-JUL-2003,2,1,2
504112,,NELCO,NELCO LTD.,Active,A ,10.0,INE045B01015,IT Networking Equipment,Equity,NELCO,NELCO Limited,EQ,28-MAY-2003,10,1,10
504212,,UNIVCABLES,UNIVERSAL CABLES LTD.,Active,B ,10.0,INE279A01012,Other Elect.Equip./ Prod.,Equity,UNIVCABLES,Universal Cables Limited,EQ,17-MAY-1995,10,1,10
504220,,WSIND,W.S.INDUSTRIES (INDIA) LTD.-$,Active,T ,10.0,INE100D01014,Industrial Machinery,Equity,WSI,W S Industries (I) Limited,BE,01-AUG-2007,10,1,10
504286,,DELTAMAGNT,Delta Manufacturing Ltd,Active,B ,10.0,INE393A01011,Other Elect.Equip./ Prod.,Equity,DELTAMAGNT,Delta Manufacturing Limited,EQ,18-OCT-1995,10,1,10
504614,,SARDAEN,SARDA ENERGY & MINERALS LTD.-$,Active,B ,10.0,INE385C01013,Iron & Steel/Interm.Products,Equity,SARDAEN,Sarda Energy & Minerals Limited,EQ,03-DEC-2009,10,1,10
504741,,INDIANHUME,INDIAN HUME PIPE CO.LTD.,Active,A ,2.0,INE323C01030,Cement & Cement Products,Equity,INDIANHUME,Indian Hume Pipe Company Limited,EQ,30-AUG-1995,2,1,2
504879,,ORIENTABRA,ORIENT ABRASIVES LTD.-$,Active,B ,1.0,INE569C01020,Other Industrial Products,Equity,ORIENTABRA,Orient Abrasives Limited,EQ,15-DEC-2005,1,1,1
504966,,TINPLATE,TINPLATE COMPANY OF INDIA LTD.,Active,A ,10.0,INE422C01014,Containers & Packaging,Equity,TINPLATE,The Tinplate Company of India Limited,EQ,27-JAN-2006,10,1,10
